,ROC_AUC @ 2,ROC_AUC @ 2.5,ROC_AUC @ 3,ROC_AUC @ 3.5,ROC_AUC @ 4,RMSE @ 0,RMSE @ 2,RMSE @ 2.5,RMSE @ 3,RMSE @ 3.5,RMSE @ 4
Ensemble,0.8539655300766782,0.8361202994002015,0.8356085130358664,0.8120996222204114,0.8121694292197935,0.8194204334969423,0.7187151505375639,0.677399901002309,0.6713255794244574,0.689690669410339,0.7318288675474822
Ensemble_MovieAspect,0.8541217075896357,0.8362619274330791,0.8357732008795151,0.812203569453594,0.8122549569450539,0.8191782632484997,0.718564438175248,0.677246866386916,0.6711544232227107,0.6893569992496352,0.7314244268536109
Ensemble_UserAspect,0.8539821928476523,0.8362896859442202,0.8361325156372483,0.8125905376247422,0.812754182475683,0.8182227865313529,0.7175369066407292,0.6762050721827713,0.6701049006103742,0.688034335975179,0.7294883399521876
