,ROC_AUC @ 2,ROC_AUC @ 2.5,ROC_AUC @ 3,ROC_AUC @ 3.5,ROC_AUC @ 4,RMSE @ 0,RMSE @ 2,RMSE @ 2.5,RMSE @ 3,RMSE @ 3.5,RMSE @ 4
CB_Metadata,0.4513257181884447,0.4547705791799495,0.44887613372807267,0.46424572974122413,0.45329498734547946,1.6983405504965328,1.4454241811716564,1.2694659049060808,1.176416569950385,0.8409564073724115,0.6621171546891933
CB_Plot,0.5313290620285949,0.5228346711075411,0.5167298969268221,0.5142250646640079,0.5063032188747485,1.6476777929894653,1.6662040844987613,1.7268614454014932,1.7738069068413889,1.997946312786882,2.140179086408516
CB_Poster,0.5053726980805326,0.4998455646152922,0.49909621064590626,0.4941546252266468,0.4937477013741674,1.1471995589868829,1.0119096315924976,0.9732551807453231,0.9749153108645546,1.0809345229035647,1.184272460447921
CF_Item,0.755484597308198,0.7450067774112035,0.7389547915916344,0.7277776291775886,0.7211983761309945,1.0411967579269166,0.9364507852686592,0.8934915895348889,0.8797544373452778,0.8887314600498921,0.9102984373435392
CF_User,0.7838965424014966,0.7671472081474566,0.7622056795070775,0.747684583332554,0.7387188105197285,0.938276409081145,0.8265853212564926,0.7833773085737468,0.7752771564698784,0.8015738275665564,0.8474517619407058
Ensemble,0.8539655300766782,0.8361202994002015,0.8356085130358664,0.8120996222204114,0.8121694292197935,0.8194204334969423,0.7187151505375639,0.677399901002309,0.6713255794244574,0.689690669410339,0.7318288675474822
LFM,0.8530478359462887,0.8355130871931955,0.8349553971198251,0.8122166136544761,0.8119902119215103,0.8210815135105579,0.715189883340177,0.6723490051706292,0.6662106242263967,0.6895629788890154,0.735680985704808
